标题,类型,名称,位置,resblockroom,area,resblockroom1,resblockroom2,resblockroom3,关键词,数量,描述,second
undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,"
          整租·晶华城 1室0厅 北        ",undefined,"
                中原区-五龙口-晶华城
        /
        31.00㎡
        /北        /
          1室0厅0卫        
          /
          中楼层                        （27层）
                  
      ",中原区,undefined,五龙口,undefined,晶华城,undefined,undefined,精装,集中供暖,随时看房,"
            链家          ",1100 元/月,1100,,,,,,6天前维护,,"
          /
          中楼层                        （27层）
                  ",,,,,下一页,https://zz.zu.ke.com/zufang/pg2/#contentList
undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,"
          合租·山顶御鑫城 4居室 南卧        ",undefined,"
                  精选          /
                金水-北站-山顶御鑫城
        /
        30.00㎡
        /南        /
          4室1厅2卫        
          /
          高楼层                        （33层）
                  
      ",金水,undefined,北站,undefined,山顶御鑫城,undefined,undefined,租住保障,公寓,拎包入住,"
            瓶盖公寓          ",700 元/月,700,"
            广告          ",/,精装,独立阳台,集中供暖,9天前维护,,"
          /
          高楼层                        （33层）
                  ",随时看房,,,,下一页,https://zz.zu.ke.com/zufang/pg2/#contentList
undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,"
          整租·铁道安顺家园 1室2厅 东        ",undefined,"
                管城回族区-正商城-铁道安顺家园
        /
        91.00㎡
        /东        /
          1室2厅1卫        
          /
          低楼层                        （28层）
                  
      ",管城回族区,undefined,正商城,undefined,铁道安顺家园,undefined,undefined,业主自荐,近地铁,集中供暖,2天前维护,1500 元/月,1500,,,,,,,,"
          /
          低楼层                        （28层）
                  ",,,,,下一页,https://zz.zu.ke.com/zufang/pg2/#contentList
undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,"
          合租·红专路39号院 5居室 南卧        ",undefined,"
                  精选          /
                金水区-花园路-红专路39号院
        /
        26.00㎡
        /南        /
          5室0厅1卫        
          /
          中楼层                        （5层）
                  
      ",金水区,undefined,花园路,undefined,红专路39号院,undefined,undefined,公寓,月租,精装,"
            贰号公寓          ",750 元/月,750,"
            广告          ",/,集中供暖,押一付一,随时看房,5天前维护,,"
          /
          中楼层                        （5层）
                  ",,,,,下一页,https://zz.zu.ke.com/zufang/pg2/#contentList
undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,"
          整租·正商城禧园5号院 1室0厅 南        ",undefined,"
                二七区-正商城-正商城禧园5号院
        /
        49.00㎡
        /南        /
          1室0厅1卫        
          /
          高楼层                        （9层）
                  
      ",二七区,undefined,正商城,undefined,正商城禧园5号院,undefined,undefined,精装,集中供暖,,6天前维护,1300 元/月,1300,,,,,,,,"
          /
          高楼层                        （9层）
                  ",,,,,下一页,https://zz.zu.ke.com/zufang/pg2/#contentList
undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,"
          合租·安泰嘉园 5居室 东南卧        ",undefined,"
                  精选          /
                金水-北站-安泰嘉园
        /
        25.00㎡
        /东南        /
          5室2厅2卫        
          /
          中楼层                        （32层）
                  
      ",金水,undefined,北站,undefined,安泰嘉园,undefined,undefined,租住保障,公寓,精装,"
            可乐公寓          ",750 元/月,750,"
            广告          ",/,集中供暖,随时看房,,10天前维护,,"
          /
          中楼层                        （32层）
                  ",,,,,下一页,https://zz.zu.ke.com/zufang/pg2/#contentList
undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,"
          整租·正上豪布斯卡 1室2厅 北        ",undefined,"
                荥阳市-荥阳城区-正上豪布斯卡
        /
        40.00㎡
        /北        /
          1室2厅1卫        
          /
          高楼层                        （20层）
                  
      ",荥阳市,undefined,荥阳城区,undefined,正上豪布斯卡,undefined,undefined,新上,精装,,3天前维护,1100 元/月,1100,,,,,,,,"
          /
          高楼层                        （20层）
                  ",,,,,下一页,https://zz.zu.ke.com/zufang/pg2/#contentList
undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,"
          合租·汇美家园 4居室 南卧        ",undefined,"
                  精选          /
                管城回族区-世纪欢乐园-汇美家园
        /
        15.00㎡
        /南        /
          4室1厅1卫        
          /
          高楼层                        （6层）
                  
      ",管城回族区,undefined,世纪欢乐园,undefined,汇美家园,undefined,undefined,租住保障,公寓,月租,"
            海荣公寓          ",600 元/月,600,"
            广告          ",/,精装,押一付一,随时看房,8天前维护,,"
          /
          高楼层                        （6层）
                  ",,,,,下一页,https://zz.zu.ke.com/zufang/pg2/#contentList
undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,"
          整租·研究所家属院 3室1厅 南        ",undefined,"
                中原区-中原万达-研究所家属院
        /
        90.00㎡
        /南        /
          3室1厅1卫        
          /
          中楼层                        （5层）
                  
      ",中原区,undefined,中原万达,undefined,研究所家属院,undefined,undefined,集中供暖,,,7天前维护,2300 元/月,2300,,,,,,,,"
          /
          中楼层                        （5层）
                  ",,,,,下一页,https://zz.zu.ke.com/zufang/pg2/#contentList
undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,"
          合租·21世纪社区湖左岸 4居室 北卧        ",undefined,"
                  精选          /
                金水区-汽配大世界-21世纪社区湖左岸
        /
        18.00㎡
        /北        /
          4室1厅1卫        
          /
          高楼层                        （6层）
                  
      ",金水区,undefined,汽配大世界,undefined,21世纪社区湖左岸,undefined,undefined,租住保障,公寓,拎包入住,"
            豫城公寓          ",860 元/月,860,"
            广告          ",/,近地铁,精装,押一付一,10天前维护,,"
          /
          高楼层                        （6层）
                  ",随时看房,,,,下一页,https://zz.zu.ke.com/zufang/pg2/#contentList
undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,"
          整租·正上豪布斯卡 1室2厅 北        ",undefined,"
                荥阳市-荥阳城区-正上豪布斯卡
        /
        40.00㎡
        /北        /
          1室2厅1卫        
          /
          高楼层                        （20层）
                  
      ",荥阳市,undefined,荥阳城区,undefined,正上豪布斯卡,undefined,undefined,新上,精装,,3天前维护,1100 元/月,1100,,,,,,,,"
          /
          高楼层                        （20层）
                  ",,,,,下一页,https://zz.zu.ke.com/zufang/pg3/#contentList
undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,"
          合租·红专路39号院 5居室 南卧        ",undefined,"
                  精选          /
                金水区-花园路-红专路39号院
        /
        26.00㎡
        /南        /
          5室0厅1卫        
          /
          中楼层                        （5层）
                  
      ",金水区,undefined,花园路,undefined,红专路39号院,undefined,undefined,公寓,月租,精装,"
            贰号公寓          ",750 元/月,750,"
            广告          ",/,集中供暖,押一付一,随时看房,5天前维护,,"
          /
          中楼层                        （5层）
                  ",,,,,下一页,https://zz.zu.ke.com/zufang/pg3/#contentList
undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,"
          整租·京河湾 1室1厅 南        ",undefined,"
                荥阳市-荥阳城区-京河湾
        /
        45.00㎡
        /南        /
          1室1厅1卫        
          /
          低楼层                        （6层）
                  
      ",荥阳市,undefined,荥阳城区,undefined,京河湾,undefined,undefined,新上,精装,集中供暖,3天前维护,1100 元/月,1100,,,,,,,,"
          /
          低楼层                        （6层）
                  ",,,,,下一页,https://zz.zu.ke.com/zufang/pg3/#contentList
undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,"
          合租·六合幸福门二期 5居室 东卧        ",undefined,"
                  精选          /
                中原-汽车西站-六合幸福门二期
        /
        18.00㎡
        /东        /
          5室1厅2卫        
          /
          中楼层                        （33层）
                  
      ",中原,undefined,汽车西站,undefined,六合幸福门二期,undefined,undefined,公寓,月租,拎包入住,"
            吉嘉公寓          ",550 元/月,550,"
            广告          ",/,近地铁,集中供暖,押一付一,23天前维护,,"
          /
          中楼层                        （33层）
                  ",随时看房,,,,下一页,https://zz.zu.ke.com/zufang/pg3/#contentList
undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,"
          整租·锦绣汇城 1室0厅 南        ",undefined,"
                金水区-徐寨-锦绣汇城
        /
        35.00㎡
        /南        /
          1室0厅1卫        
          /
          高楼层                        （11层）
                  
      ",金水区,undefined,徐寨,undefined,锦绣汇城,undefined,undefined,新上,近地铁,精装,2天前维护,1100 元/月,1100,,,,,,,,"
          /
          高楼层                        （11层）
                  ",,,,,下一页,https://zz.zu.ke.com/zufang/pg3/#contentList
undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,"
          合租·山顶御鑫城 4居室 南卧        ",undefined,"
                  精选          /
                金水-北站-山顶御鑫城
        /
        30.00㎡
        /南        /
          4室1厅2卫        
          /
          高楼层                        （33层）
                  
      ",金水,undefined,北站,undefined,山顶御鑫城,undefined,undefined,租住保障,公寓,拎包入住,"
            瓶盖公寓          ",700 元/月,700,"
            广告          ",/,精装,独立阳台,集中供暖,9天前维护,,"
          /
          高楼层                        （33层）
                  ",随时看房,,,,下一页,https://zz.zu.ke.com/zufang/pg3/#contentList
undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,"
          整租·正商世纪港湾 3室2厅 南        ",undefined,"
                金水区-海洋馆-正商世纪港湾
        /
        113.00㎡
        /南        /
          3室2厅1卫        
          /
          低楼层                        （11层）
                  
      ",金水区,undefined,海洋馆,undefined,正商世纪港湾,undefined,undefined,近地铁,集中供暖,随时看房,2天前维护,2500 元/月,2500,,,,,,,,"
          /
          低楼层                        （11层）
                  ",,,,,下一页,https://zz.zu.ke.com/zufang/pg3/#contentList
undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,"
          独栋·圈子国际公寓 龙子湖店 【独栋】整租钜惠静谧一居 1室1厅        ",undefined,"
                  仅剩3间
          /
                55.00㎡
        /3间在租        /
        1室1厅1卫      ",,undefined,,undefined,,undefined,undefined,独栋公寓,月租,精装,"
            圈子国际公寓          ",1999 元/月,1999,,,有阳台,开放厨房,押一付一,1天前维护,"
            广告          ",仅剩3间,,,,,下一页,https://zz.zu.ke.com/zufang/pg3/#contentList
undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,"
          整租·东润朗郡 2室2厅 南        ",undefined,"
                中牟县-中牟城区-东润朗郡
        /
        108.00㎡
        /南        /
          2室2厅1卫        
          /
          高楼层                        （27层）
                  
      ",中牟县,undefined,中牟城区,undefined,东润朗郡,undefined,undefined,新上,精装,集中供暖,6天前维护,1200 元/月,1200,,,随时看房,,,,,"
          /
          高楼层                        （27层）
                  ",,,,,下一页,https://zz.zu.ke.com/zufang/pg3/#contentList
undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,"
          独栋·米家公寓 建文新世界店 C户型 开间        ",undefined,"
                  仅剩1间
          /
                30.00㎡
        /1间在租        /
        1室0厅1卫      ",,undefined,,undefined,,undefined,undefined,独栋公寓,月租,近地铁,"
            米家公寓          ",1100 元/月,1100,,,精装,,,6天前维护,"
            广告          ",仅剩1间,,,,,下一页,https://zz.zu.ke.com/zufang/pg3/#contentList
undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,"
          整租·庙李家园东苑 3室2厅 南/北        ",undefined,"
                金水区-陈寨-庙李家园东苑
        /
        135.00㎡
        /南 北        /
          3室2厅2卫        
          /
          高楼层                        （34层）
                  
      ",金水区,undefined,陈寨,undefined,庙李家园东苑,undefined,undefined,业主自荐,新上,精装,"
            链家          ",2600 元/月,2600,,,集中供暖,双卫生间,,1天前维护,,"
          /
          高楼层                        （34层）
                  ",,,,,下一页,https://zz.zu.ke.com/zufang/pg3/#contentList
undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,"
          独栋·克拉薇公寓 龙子湖店 G户型 1室1厅        ",undefined,"
                  仅剩3间
          /
                47.00-50.00㎡
        /3间在租        /
        1室1厅1卫      ",,undefined,,undefined,,undefined,undefined,独栋公寓,月租,近地铁,"
            克拉薇公寓          ",2000-2500 元/月,2000-2500,,,精装,有阳台,开放厨房,9天前维护,"
            广告          ",仅剩3间,,,,,下一页,https://zz.zu.ke.com/zufang/pg3/#contentList
undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,"
          整租·宏基王朝樱花园 3室2厅 南        ",undefined,"
                新郑市-新郑城区-宏基王朝樱花园
        /
        111.00㎡
        /南        /
          3室2厅1卫        
          /
          中楼层                        （18层）
                  
      ",新郑市,undefined,新郑城区,undefined,宏基王朝樱花园,undefined,undefined,新上,精装,随时看房,3天前维护,1100 元/月,1100,,,,,,,,"
          /
          中楼层                        （18层）
                  ",,,,,下一页,https://zz.zu.ke.com/zufang/pg3/#contentList
undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,"
          独栋·遇见青苹果 白庙店 温馨舒适实墙单间独卫B 开间        ",undefined,"
                  仅剩1间
          /
                30.00㎡
        /1间在租        /
        1室0厅1卫      ",,undefined,,undefined,,undefined,undefined,新上,独栋公寓,月租,"
            遇见青苹果          ",950 元/月,950,,,近地铁,精装,押一付一,2天前维护,"
            广告          ",仅剩1间,,,,,下一页,https://zz.zu.ke.com/zufang/pg3/#contentList
undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,"
          整租·东洲鸣翠苑 4室2厅 南        ",undefined,"
                郑东新区-郑州东站-东洲鸣翠苑
        /
        197.00㎡
        /南        /
          4室2厅2卫        
          /
          高楼层                        （17层）
                  
      ",郑东新区,undefined,郑州东站,undefined,东洲鸣翠苑,undefined,undefined,新上,近地铁,精装,1天前维护,10000 元/月,10000,,,集中供暖,双卫生间,,,,"
          /
          高楼层                        （17层）
                  ",,,,,下一页,https://zz.zu.ke.com/zufang/pg3/#contentList
undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,"
          整租·明天世纪 3室2厅 南/北        ",undefined,"
                金水区-轻工业学院-明天世纪
        /
        90.00㎡
        /南 北        /
          3室2厅1卫        
          /
          中楼层                        （33层）
                  
      ",金水区,undefined,轻工业学院,undefined,明天世纪,undefined,undefined,新上,精装,集中供暖,"
            链家          ",2800 元/月,2800,,,,,,2天前维护,,"
          /
          中楼层                        （33层）
                  ",,,,,下一页,https://zz.zu.ke.com/zufang/pg3/#contentList
undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,"
          整租·贾河家园一号院 2室1厅 南        ",undefined,"
                惠济区-邙山-贾河家园一号院
        /
        70.00㎡
        /南        /
          2室1厅1卫        
          /
          中楼层                        （27层）
                  
      ",惠济区,undefined,邙山,undefined,贾河家园一号院,undefined,undefined,新上,精装,随时看房,3天前维护,1500 元/月,1500,,,,,,,,"
          /
          中楼层                        （27层）
                  ",,,,,下一页,https://zz.zu.ke.com/zufang/pg3/#contentList
undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,"
          合租·天府小区 3居室 南卧        ",undefined,"
                  精选          /
                金水区-北站-天府小区
        /
        20.00㎡
        /南        /
          3室1厅1卫        
          /
          高楼层                        （32层）
                  
      ",金水区,undefined,北站,undefined,天府小区,undefined,undefined,新上,租住保障,公寓,"
            纵横寓          ",550 元/月,550,"
            广告          ",/,月租,拎包入住,精装,今天维护,,"
          /
          高楼层                        （32层）
                  ",集中供暖,随时看房,,,下一页,https://zz.zu.ke.com/zufang/pg3/#contentList
undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,"
          整租·橡树玫瑰城 3室2厅 南        ",undefined,"
                管城回族区-阳光城-橡树玫瑰城
        /
        125.00㎡
        /南        /
          3室2厅2卫        
          /
          高楼层                        （26层）
                  
      ",管城回族区,undefined,阳光城,undefined,橡树玫瑰城,undefined,undefined,新上,精装,双卫生间,"
            链家          ",2500 元/月,2500,,,随时看房,,,今天维护,,"
          /
          高楼层                        （26层）
                  ",,,,,下一页,https://zz.zu.ke.com/zufang/pg3/#contentList
undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,"
          整租·阳光苑 3室2厅 西南        ",undefined,"
                荥阳市-荥阳城区-阳光苑
        /
        131.00㎡
        /西南        /
          3室2厅2卫        
          /
          高楼层                        （6层）
                  
      ",荥阳市,undefined,荥阳城区,undefined,阳光苑,undefined,undefined,精装,集中供暖,双卫生间,今天维护,800 元/月,800,,,随时看房,,,,,"
          /
          高楼层                        （6层）
                  ",,,,,下一页,https://zz.zu.ke.com/zufang/pg3/#contentList
undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,"
          整租·升龙城8号院 3室1厅 南        ",undefined,"
                二七区-市财政局-升龙城8号院
        /
        93.00㎡
        /南        /
          3室1厅1卫        
          /
          高楼层                        （26层）
                  
      ",二七区,undefined,市财政局,undefined,升龙城8号院,undefined,undefined,近地铁,集中供暖,随时看房,今天维护,2100 元/月,2100,,,,,,,,"
          /
          高楼层                        （26层）
                  ",,,,,下一页,https://zz.zu.ke.com/zufang/pg3/#contentList
undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,"
          合租·亿安花园 3居室 南卧        ",undefined,"
                  精选          /
                金水区-北站-亿安花园
        /
        10.00㎡
        /南        /
          3室1厅2卫        
          /
          低楼层                        （30层）
                  
      ",金水区,undefined,北站,undefined,亿安花园,undefined,undefined,新上,租住保障,公寓,"
            纵横寓          ",600 元/月,600,"
            广告          ",/,月租,拎包入住,精装,今天维护,,"
          /
          低楼层                        （30层）
                  ",集中供暖,押一付一,随时看房,,下一页,https://zz.zu.ke.com/zufang/pg3/#contentList
undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,"
          整租·瑞豪·上林苑 4室2厅 南/北        ",undefined,"
                郑东新区-黄河南路-瑞豪·上林苑
        /
        152.00㎡
        /南 北        /
          4室2厅2卫        
          /
          低楼层                        （21层）
                  
      ",郑东新区,undefined,黄河南路,undefined,瑞豪·上林苑,undefined,undefined,近地铁,双卫生间,随时看房,4天前维护,2700 元/月,2700,,,,,,,,"
          /
          低楼层                        （21层）
                  ",,,,,下一页,https://zz.zu.ke.com/zufang/pg3/#contentList
undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,"
          合租·明鸿新城 3居室 南卧        ",undefined,"
                  精选          /
                金水区-枣庄-明鸿新城
        /
        30.00㎡
        /南        /
          3室1厅1卫        
          /
          中楼层                        （7层）
                  
      ",金水区,undefined,枣庄,undefined,明鸿新城,undefined,undefined,租住保障,公寓,月租,"
            纵横寓          ",700 元/月,700,"
            广告          ",/,拎包入住,精装,独立阳台,今天维护,,"
          /
          中楼层                        （7层）
                  ",集中供暖,随时看房,,,下一页,https://zz.zu.ke.com/zufang/pg3/#contentList
undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,"
          整租·金科城壹号院 3室2厅 南        ",undefined,"
                郑州高新技术产业开发区-高新梧桐-金科城壹号院
        /
        118.00㎡
        /南        /
          3室2厅2卫        
          /
          中楼层                        （34层）
                  
      ",郑州高新技术产业开发区,undefined,高新梧桐,undefined,金科城壹号院,undefined,undefined,精装,集中供暖,双卫生间,"
            链家          ",2100 元/月,2100,,,,,,3天前维护,,"
          /
          中楼层                        （34层）
                  ",,,,,下一页,https://zz.zu.ke.com/zufang/pg3/#contentList
undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,"
          合租·锦绣正弘国际公寓 3居室 南卧        ",undefined,"
                  精选          /
                金水区-枣庄-锦绣正弘国际公寓
        /
        40.00㎡
        /南        /
          3室1厅1卫        
          /
          低楼层                        （21层）
                  
      ",金水区,undefined,枣庄,undefined,锦绣正弘国际公寓,undefined,undefined,租住保障,公寓,独立卫生间,"
            纵横寓          ",800 元/月,800,"
            广告          ",/,月租,拎包入住,近地铁,今天维护,,"
          /
          低楼层                        （21层）
                  ",精装,独立阳台,集中供暖,押一付一,下一页,https://zz.zu.ke.com/zufang/pg3/#contentList
undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,"
          整租·云朵公寓 2室1厅 南        ",undefined,"
                郑东新区-商业中心-云朵公寓
        /
        42.00㎡
        /南        /
          2室1厅1卫        
          /
          低楼层                        （20层）
                  
      ",郑东新区,undefined,商业中心,undefined,云朵公寓,undefined,undefined,精装,随时看房,,2天前维护,2600 元/月,2600,,,,,,,,"
          /
          低楼层                        （20层）
                  ",,,,,下一页,https://zz.zu.ke.com/zufang/pg3/#contentList
undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,"
          独栋·龙湖冠寓 郑州国贸360店 （安选推荐）温馨一居 开间        ",undefined,"
                16.00㎡
        /50间在租        /
        1室0厅1卫      ",,undefined,,undefined,,undefined,undefined,独栋公寓,月租,近地铁,"
            龙湖冠寓          ",1000 元/月,1000,,,精装,押一付一,,2个月前维护,"
            广告          ",,,,,,下一页,https://zz.zu.ke.com/zufang/pg3/#contentList
undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,"
          整租·柏庙 3室2厅 南        ",undefined,"
                上街区-上街区-柏庙
        /
        100.00㎡
        /南        /
          3室2厅1卫        
          /
          中楼层                        （17层）
                  
      ",上街区,undefined,上街区,undefined,柏庙,undefined,undefined,新上,,,2天前维护,750 元/月,750,,,,,,,,"
          /
          中楼层                        （17层）
                  ",,,,,下一页,https://zz.zu.ke.com/zufang/pg3/#contentList
undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,"
          独栋·龙湖冠寓 郑州人民公园店 限时八折舒适温馨一居 开间        ",undefined,"
                25.00㎡
        /14间在租        /
        1室0厅1卫      ",,undefined,,undefined,,undefined,undefined,独栋公寓,月租,近地铁,"
            龙湖冠寓          ",1123 元/月,1123,,,精装,押一付一,,3个月前维护,"
            广告          ",,,,,,下一页,https://zz.zu.ke.com/zufang/pg3/#contentList
undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,"
          整租·西亚斯御璟 1室0厅 东        ",undefined,"
                新郑市-新郑城区-西亚斯御璟
        /
        35.00㎡
        /东        /
          1室0厅1卫        
          /
          中楼层                        （6层）
                  
      ",新郑市,undefined,新郑城区,undefined,西亚斯御璟,undefined,undefined,集中供暖,随时看房,,11天前维护,1100 元/月,1100,,,,,,,,"
          /
          中楼层                        （6层）
                  ",,,,,下一页,https://zz.zu.ke.com/zufang/pg4/#contentList
undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,"
          独栋·龙湖冠寓 郑州陇海东路店 安选推荐阳光房 开间        ",undefined,"
                17.00㎡
        /10间在租        /
        1室0厅1卫      ",,undefined,,undefined,,undefined,undefined,独栋公寓,月租,近地铁,"
            龙湖冠寓          ",1218 元/月,1218,,,精装,开放厨房,押一付一,2个月前维护,"
            广告          ",,,,,,下一页,https://zz.zu.ke.com/zufang/pg4/#contentList
undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,"
          整租·万科美景魅力之城祥润园 3室2厅 南        ",undefined,"
                航空港区-航空港商圈-万科美景魅力之城祥润园
        /
        89.00㎡
        /南        /
          3室2厅1卫        
          /
          低楼层                        （29层）
                  
      ",航空港区,undefined,航空港商圈,undefined,万科美景魅力之城祥润园,undefined,undefined,近地铁,精装,集中供暖,12天前维护,1500 元/月,1500,,,,,,,,"
          /
          低楼层                        （29层）
                  ",,,,,下一页,https://zz.zu.ke.com/zufang/pg4/#contentList
undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,"
          独栋·魔方公寓 郑州南阳路店 海滩寺地铁站旁整租 1室1厅        ",undefined,"
                  仅剩3间
          /
                20.00-26.00㎡
        /3间在租        /
        1室1厅1卫      ",,undefined,,undefined,,undefined,undefined,独栋公寓,月租,近地铁,"
            魔方公寓          ",960-1100 元/月,960-1100,,,精装,押一付一,,9天前维护,"
            广告          ",仅剩3间,,,,,下一页,https://zz.zu.ke.com/zufang/pg4/#contentList
undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,"
          整租·盛润美丽源 2室2厅 东南        ",undefined,"
                中原区-王府井-盛润美丽源
        /
        98.00㎡
        /东南        /
          2室2厅1卫        
          /
          中楼层                        （28层）
                  
      ",中原区,undefined,王府井,undefined,盛润美丽源,undefined,undefined,集中供暖,,,"
            链家          ",2600 元/月,2600,,,,,,4天前维护,,"
          /
          中楼层                        （28层）
                  ",,,,,下一页,https://zz.zu.ke.com/zufang/pg4/#contentList
