标题,标记,类型,名称,位置,resblockroom,area,resblockroom1,resblockroom2,resblockroom3,名称4,关键词,数量,描述,second
正商生态城,效果图,在售,住宅,"
                        管城回族区/橄榄城/郑新快速路与南水北调桥北50米路东
                    ",3室,建面 92-143㎡,4室,建面 92-143㎡,,,"
                        

                        
                            低单价
                        
                            低总价
                        
                            公交直达
                        
                            近主干道
                        
                    ",9500, 元/㎡(均价),总价93-200(万/套)
正商兰庭华府,效果图,在售,住宅,"
                        新郑市/南龙湖商圈/郑新快速通道与祥和路交会处向北500米路东
                    ",3室,建面 98-190㎡,建面 98-190㎡,,,,"
                        

                        
                            近主干道
                        
                            配套齐全
                        
                            购物方便
                        
                            医疗配套
                        
                    ",7100, 元/㎡(均价),总价71-159(万/套)
正商汇航铭筑,效果图,在售,商业类,"
                        郑州经济技术开发区/第八大街/航海东路与东三环交会处向东1000米路北
                    ",2室,建面 44-51㎡,建面 44-51㎡,,,,"
                        

                        
                            低总价
                        
                            公交直达
                        
                            近主干道
                        
                            购物方便
                        
                    ",10000, 元/㎡(均价),总价40-57(万/套)
正商公主湖,效果图,在售,住宅,"
                        新郑市/新郑城区/新村大道与华瑞路交叉口路北
                    ",3室,建面 105-151㎡,建面 105-151㎡,,,,"
                        

                        
                            低单价
                        
                            购物方便
                        
                            娱乐丰富
                        
                            医疗配套
                        
                    ",5700, 元/㎡(均价),总价60-145(万/套)
正商启航国际广场,效果图,在售,商业类,"
                        航空港区/双鹤湖商圈/航空港区鹤首外环路与鹤首北路交汇处东北角
                    ",2室,建面 82-170㎡,3室,建面 82-170㎡,,,"
                        

                        
                            低单价
                        
                            近主干道
                        
                            超市
                        
                            亲子乐园
                        
                    ",5500, 元/㎡(均价),总价62-127(万/套)
腾威城,效果图,在售,住宅,"
                        金水区/东建材/郑汴路与英协路交叉口东南角
                    ",2室,建面 83-157㎡,3室,4室,建面 83-157㎡,,"
                        

                        
                            多轨交汇
                        
                            近主干道
                        
                            配套齐全
                        
                            成熟商圈
                        
                    ",17000, 元/㎡(均价),总价137-293(万/套)
富田城·九鼎华府,效果图,在售,住宅,"
                        管城回族区/橄榄城/豫一路与祥和路交叉路口往东约50米
                    ",3室,建面 89-143㎡,4室,建面 89-143㎡,,,"
                        

                        
                            低单价
                        
                            低总价
                        
                            临近高速
                        
                            购物方便
                        
                    ",11400, 元/㎡(均价),总价115-210(万/套)
和昌优地,效果图,在售,住宅,"
                        金水区/普罗旺世/三全路索凌路南300米路东
                    ",3室,建面 113-143㎡,4室,建面 113-143㎡,,,"
                        

                        
                            多轨交汇
                        
                            配套齐全
                        
                            成熟商圈
                        
                            3D楼书
                        
                    ",19500, 元/㎡(均价),总价220-280(万/套)
泰宏建业国际城,效果图,在售,商业类,"
                        二七区/万客来/大学路南三环南1000米
                    ",1室,建面 32-78㎡,2室,建面 32-78㎡,,,"
                        

                        
                            低单价
                        
                            低总价
                        
                            近主干道
                        
                            配套齐全
                        
                    ",7000, 元/㎡(均价),总价26-60.7(万/套)
汉德·如意府,效果图,在售,住宅,"
                        郑东新区/象湖/郑开大道康庄路交叉口向南200路东
                    ",2室,建面 93-135㎡,3室,建面 93-135㎡,,,"
                        

                        
                            公交直达
                        
                            近主干道
                        
                            配套齐全
                        
                            成熟商圈
                        
                    ",13560, 元/㎡(均价),总价126-182(万/套)
碧桂园生态城,效果图,在售,住宅,"
                        郑东新区/万滩/连霍高速与万三路（新107）交汇处往北2000米
                    ",3室,建面 125-143㎡,4室,建面 125-143㎡,,,"
                        

                        
                            低单价
                        
                            临近高速
                        
                            美食云集
                        
                            超市
                        
                    ",10500, 元/㎡(均价),总价126-170(万/套)
绿城明月滨河,效果图,在售,住宅,"
                        郑州经济技术开发区/滨河国际新城商圈/经开第十七大街与经南十二路交汇处
                    ",3室,建面 103-142㎡,4室,建面 103-142㎡,,,"
                        

                        
                            公交直达
                        
                            购物方便
                        
                            美食云集
                        
                            医疗配套
                        
                    ",18500, 元/㎡(均价),总价165-300(万/套)
华润置地新时代广场,效果图,在售,商业类,"
                        郑东新区/郑州东站/商鼎路新时代广场万象苑
                    ",1室,建面 29-54㎡,建面 29-54㎡,,,,"
                        

                        
                            低总价
                        
                            地铁沿线
                        
                            多轨交汇
                        
                            配套齐全
                        
                    ",12000, 元/㎡(均价),总价42-75.6(万/套)
永威·山悦,效果图,在售,别墅,"
                        荥阳市/荥阳城区/中原西路荥密路交叉口
                    ",4室,建面 159-280㎡,建面 159-280㎡,,,,"
                        

                        
                            低单价
                        
                            低总价
                        
                            成熟商圈
                        
                            品牌房企
                        
                    ",11000, 元/㎡(均价),总价616(万/套)
正商博雅华庭,效果图,在售,住宅,"
                        荥阳市/荥阳城区/荥阳市塔山路与龙港路交汇处南300米路西
                    ",3室,建面 92-120㎡,建面 92-120㎡,,,,"
                        

                        
                            低单价
                        
                            低总价
                        
                            近主干道
                        
                            配套齐全
                        
                    ",5000, 元/㎡(均价),总价56-70(万/套)
鸿园,效果图,在售,住宅,"
                        郑东新区/鸿园片区/鸿宝路与鸿苑路交叉口向北800米
                    ",3室,建面 134-160㎡,建面 134-160㎡,,,,"
                        

                        
                            多轨交汇
                        
                            购物方便
                        
                            美食云集
                        
                            三甲医院
                        
                    ",26000, 元/㎡(均价),总价420(万/套)
中博城珑誉园,效果图,在售,住宅,"
                        管城回族区/幸福港湾/未来路西石化路南
                    ",3室,建面 96-139㎡,4室,建面 96-139㎡,,,"
                        

                        
                            地铁沿线
                        
                            公交直达
                        
                            配套齐全
                        
                            成熟商圈
                        
                    ",16200, 元/㎡(均价),总价158-212(万/套)
金地正华漾时代,效果图,在售,住宅,"
                        二七区/万客来/二七区大学路与右江路交汇处向西800米路北
                    ",3室,建面 95-115㎡,建面 95-115㎡,,,,"
                        

                        
                            公交直达
                        
                            多轨交汇
                        
                            购物方便
                        
                            美食云集
                        
                    ",13000, 元/㎡(均价),总价110-140(万/套)
汇泉西悦城,效果图,在售,底商,"
                        中原区/常西湖/陇海路与西四环交汇口西南侧
                    ",,,,,,,"
                        

                        
                            低总价
                        
                            近主干道
                        
                            临近高速
                        
                            成熟商圈
                        
                    ",25000, 元/㎡(均价),总价80(万/套)
朗悦公园府,效果图,在售,住宅,"
                        郑州高新技术产业开发区/高新梧桐/梧桐街与雪松路交会处西北角
                    ",2室,建面 67-165㎡,3室,4室,建面 67-165㎡,,"
                        

                        
                            地铁沿线
                        
                            公交直达
                        
                            配套齐全
                        
                            成熟商圈
                        
                    ",16000, 元/㎡(均价),总价106-281(万/套)
华瑞紫金嘉苑,效果图,在售,住宅,"
                        金水区/索凌路北段/三全路丰庆路交叉口北300米路东
                    ",3室,建面 117-129㎡,建面 117-129㎡,,,,"
                        

                        
                            多轨交汇
                        
                            近主干道
                        
                            配套齐全
                        
                            成熟商圈
                        
                    ",16600, 元/㎡(均价),总价180-200(万/套)
中国铁建·北海书苑,效果图,在售,住宅,"
                        建安区/建安区/建安区永贤路与凉亭街交汇处
                    ",3室,建面 107-137㎡,4室,建面 107-137㎡,,,"
                        

                        
                            许昌楼盘
                        
                            近主干道
                        
                            视频看房
                        
                            品牌房企
                        
                            绿化率高
                        
                    ",5000, 元/㎡(均价),总价55-71(万/套)
中成九都城,效果图,在售,住宅,"
                        涧西区/珠江路/九都路黄河路口西南侧
                    ",3室,建面 85-143㎡,建面 85-143㎡,,,,"
                        

                        
                            洛阳楼盘
                        
                            近主干道
                        
                            菜市场
                        
                            3D楼书
                        
                            绿化率高
                        
                    ",10500, 元/㎡(均价),总价131(万/套)
美的·浩德 云熙府,效果图,在售,住宅,"
                        涧西区/联盟路/青岛路与孙石路交汇处
                    ",3室,建面 98-135㎡,建面 98-135㎡,,,,"
                        

                        
                            洛阳楼盘
                        
                            近主干道
                        
                            临近高速
                        
                            成熟商圈
                        
                            菜市场
                        
                    ",11500, 元/㎡(均价),总价119-172(万/套)
华耀城·佳兆业洛阳中心,效果图,在售,商业类,"
                        洛龙区/宝龙/洛龙区定鼎门街与翠云路交叉口向东50米
                    ",1室,建面 38-270㎡,2室,3室,建面 38-270㎡,,"
                        

                        
                            洛阳楼盘
                        
                            低总价
                        
                            多轨交汇
                        
                            成熟商圈
                        
                            亲子乐园
                        
                    ",6700, 元/㎡(均价),总价34-330(万/套)
永威梅隆琚,效果图,在售,住宅,"
                        龙亭区/北站商圈/复兴大道永威梅隆琚
                    ",3室,建面 118-140㎡,4室,建面 118-140㎡,,,"
                        

                        
                            开封楼盘
                        
                            品牌房企
                        
                            VR看房
                        
                            绿化率高
                        
                            小型社区
                        
                    ",6900, 元/㎡(均价),总价88-114(万/套)
海马公馆三期,效果图,在售,住宅,"
                        龙亭区/西湖商圈/东京大道海马公馆三期
                    ",3室,建面 118-147㎡,4室,建面 118-147㎡,,,"
                        

                        
                            开封楼盘
                        
                            品牌房企
                        
                            绿化率高
                        
                            小型社区
                        
                    ",7000, 元/㎡(均价),总价92-117(万/套)
晋开四季城,效果图,在售,住宅,"
                        龙亭区/四季城商圈/复兴大道晋开四季城
                    ",3室,建面 98-160㎡,4室,建面 98-160㎡,,,"
                        

                        
                            开封楼盘
                        
                            近主干道
                        
                            开发区
                        
                            菜市场
                        
                            亲子乐园
                        
                    ",5999, 元/㎡(均价),总价57-100(万/套)
中南金玉堂,效果图,在售,住宅,"
                        建安区/建安区/宏腾路与学院路交汇处东南角中南金玉堂售楼部
                    ",3室,建面 99-165㎡,4室,建面 99-165㎡,,,"
                        

                        
                            许昌楼盘
                        
                            近主干道
                        
                            购物方便
                        
                            超市
                        
                            三甲医院
                        
                    ",5800, 元/㎡(均价),总价62-100(万/套)
天琦·云筑,效果图,在售,住宅,"
                        龙亭区/橄榄城商圈/河南省开封市金明大道与华夏大道交叉口
                    ",3室,建面 105-182㎡,4室,5室,建面 105-182㎡,,"
                        

                        
                            开封楼盘
                        
                            多轨交汇
                        
                            近主干道
                        
                            成熟商圈
                        
                            菜市场
                        
                    ",5500, 元/㎡(均价),总价60-107(万/套)
龙湖和棠,效果图,在售,住宅,"
                        魏都区/魏都区/延安路龙湖和棠
                    ",3室,建面 106-152㎡,4室,建面 106-152㎡,,,"
                        

                        
                            许昌楼盘
                        
                            开发区
                        
                            早教机构
                        
                            视频看房
                        
                            VR看房
                        
                    ",5000, 元/㎡(均价),总价52-76(万/套)
国悦城誉府,效果图,在售,住宅,"
                        红旗区/汽车东站/振中路与友谊路交叉口东南角
                    ",3室,建面 100-166㎡,4室,建面 100-166㎡,,,"
                        

                        
                            新乡楼盘
                        
                            近主干道
                        
                            成熟商圈
                        
                            亲子乐园
                        
                            科技住宅
                        
                    ",7500, 元/㎡(均价),总价74-129(万/套)
东哲·牧野崇文,效果图,在售,住宅,"
                        红旗区/柳青路/海河路东哲·牧野崇文
                    ",3室,建面 110-180㎡,4室,建面 110-180㎡,,,"
                        

                        
                            新乡楼盘
                        
                            品牌房企
                        
                            低密居所
                        
                            绿化率高
                        
                    ",7600, 元/㎡(均价),总价85-165(万/套)
鲲鹏•香溪湾,效果图,在售,住宅,"
                        红旗区/橄榄城/河南省新乡市红旗区振中街333号
                    ",1室,建面 46-187㎡,3室,4室,建面 46-187㎡,,"
                        

                        
                            新乡楼盘
                        
                            品牌房企
                        
                            小户型
                        
                            绿化率高
                        
                            大型社区
                        
                    ",7200, 元/㎡(均价),总价36-156(万/套)
升龙·栖樾府,效果图,在售,住宅,"
                        二七区/市财政局/航海中路114号
                    ",2室,建面 64-141㎡,3室,建面 64-141㎡,,,"
                        

                        
                            多轨交汇
                        
                            近主干道
                        
                            成熟商圈
                        
                            三甲医院
                        
                    ",16000, 元/㎡(均价),总价99-251(万/套)
融信奥体世纪,效果图,在售,商业类,"
                        中原区/常西湖/河南省郑州市中原区陇海路与西四环交叉口
                    ",1室,建面 37㎡,建面 37㎡,,,,"
                        

                        
                            低总价
                        
                            地铁沿线
                        
                            公交直达
                        
                            配套齐全
                        
                    ",9750, 元/㎡(均价),总价36(万/套)
鑫苑紫金府,效果图,在售,住宅,"
                        管城回族区/正商城/管城区紫荆山南路南三环向北200米路东
                    ",3室,建面 88-168㎡,4室,建面 88-168㎡,,,"
                        

                        
                            多轨交汇
                        
                            近主干道
                        
                            成熟商圈
                        
                            菜市场
                        
                    ",16000, 元/㎡(均价),总价128-288(万/套)
东方珑玥,效果图,在售,住宅,"
                        中牟县/中牟城区/郑州市中牟县建安路与建设路交汇处东400米
                    ",3室,建面 94-125㎡,4室,建面 94-125㎡,,,"
                        

                        
                            低单价
                        
                            低总价
                        
                            品牌房企
                        
                            绿化率高
                        
                    ",5800, 元/㎡(均价),总价56-75(万/套)
亚星望江居,效果图,在售,住宅,"
                        二七区/万客来/郑密路亚星望江居
                    ",3室,建面 133-143㎡,建面 133-143㎡,,,,"
                        

                        
                            现房
                        
                            绿化率高
                        
                    ",12000, 元/㎡(均价),总价170-184(万/套)
亚星双河居,效果图,在售,住宅,"
                        二七区/万客来/河南省郑州市二七区黄岗寺北街101号
                    ",2室,建面 89-193㎡,3室,建面 89-193㎡,,,"
                        

                        
                            多轨交汇
                        
                            近主干道
                        
                            成熟商圈
                        
                            菜市场
                        
                    ",13800, 元/㎡(均价),总价139-277(万/套)
嘉宇云峯,效果图,在售,住宅,"
                        中牟县/绿博/人文路与同城大道交会处300米路南
                    ",3室,建面 105-152㎡,4室,建面 105-152㎡,,,"
                        

                        
                            低单价
                        
                            低总价
                        
                            品牌房企
                        
                            VR看房
                        
                    ",7800, 元/㎡(均价),总价81-120(万/套)
雅宝龙湖春江天玺,效果图,待售,住宅,"
                        中牟县/绿博/郑州文创园广惠街与国华路交叉口
                    ",3室,建面 89-117㎡,建面 89-117㎡,,,,"
                        

                        
                            低单价
                        
                            低总价
                        
                            品牌房企
                        
                            VR看房
                        
                    ",7500, 元/㎡(均价),总价78-100(万/套)
雅宝龙湖春江天玺,效果图,待售,别墅,"
                        中牟县/绿博/河南省郑州市中牟县广惠街雅宝春江天玺售楼部
                    ",3室,建面 176-189㎡,建面 176-189㎡,,,,"
                        

                        
                            低总价
                        
                            品牌房企
                        
                            VR看房
                        
                    ",18000, 元/㎡(均价),总价290-370(万/套)
保利上城,效果图,在售,住宅,"
                        二七区/万客来/南三环与郑密路向南1000米
                    ",3室,建面 96-129㎡,4室,建面 96-129㎡,,,"
                        

                        
                            低单价
                        
                            品牌房企
                        
                            VR看房
                        
                    ",11000, 元/㎡(均价),总价106-184(万/套)
康桥天樾九章,效果图,在售,住宅,"
                        金水区/新北站/金水区柳林路西侧
                    ",3室,建面 109-168㎡,4室,建面 109-168㎡,,,"
                        

                        
                            品牌房企
                        
                            VR看房
                        
                            大型社区
                        
                    ",18000, 元/㎡(均价),总价201-327(万/套)
美景芳菲,效果图,在售,商业类,"
                        管城回族区/阳光城/航海东路美景芳菲
                    ",1室,建面 32-45㎡,建面 32-45㎡,,,,"
                        

                        
                            低单价
                        
                            低总价
                        
                            品牌房企
                        
                            小户型
                        
                    ",8500, 元/㎡(均价),总价27-38(万/套)
泰宏阳光里,效果图,在售,住宅,"
                        新郑市/南龙湖商圈/河南省郑州市新郑市祥安路
                    ",3室,建面 88-124㎡,4室,建面 88-124㎡,,,"
                        

                        
                            品牌房企
                        
                            VR看房
                        
                    ",7000, 元/㎡(均价),总价63-106(万/套)
海马公园二期,效果图,在售,住宅,"
                        郑东新区/郑州东站/东风南路与福禄路交汇处东150米
                    ",3室,建面 105-180㎡,4室,建面 105-180㎡,,,"
                        

                        
                            成熟商圈
                        
                            三甲医院
                        
                            品牌房企
                        
                            科技住宅
                        
                    ",27500, 元/㎡(均价),总价275-510(万/套)
华强国际公馆,效果图,在售,住宅,"
                        中牟县/中牟城区/寿圣街华强国际公馆
                    ",3室,建面 87-128㎡,建面 87-128㎡,,,,"
                        

                        
                            低单价
                        
                            品牌房企
                        
                            花园洋房
                        
                            绿化率高
                        
                    ",6900, 元/㎡(均价),总价73-106(万/套)
星联花溪府,效果图,在售,住宅,"
                        中牟县/绿博/河南省郑州市中牟县新城大道
                    ",3室,建面 100-143㎡,4室,建面 100-143㎡,,,"
                        

                        
                            低单价
                        
                            低总价
                        
                            品牌房企
                        
                            VR看房
                        
                    ",7500, 元/㎡(均价),总价85-127(万/套)
万科理想拾光,效果图,在售,住宅,"
                        二七区//灵山路万科理想拾光
                    ",,,,,,,"
                        

                        
                            多轨交汇
                        
                            近主干道
                        
                            成熟商圈
                        
                            早教机构
                        
                    ",12000, 元/㎡(均价),总价132(万/套)
汇泉博澳东悦城,效果图,在售,商业,"
                        郑东新区/白沙/商都大道与前程路交会处
                    ",,,,,,,"
                        

                        
                            公交直达
                        
                            配套齐全
                        
                            购物方便
                        
                            医疗配套
                        
                    ",23000, 元/㎡(均价),总价247(万/套)
金辉悠步兰庭,效果图,待售,住宅,"
                        中牟县/中牟城区/商都大道星城东路交汇处50米路南
                    ",3室,建面 98-143㎡,建面 98-143㎡,,,,"
                        

                        
                            低单价
                        
                            低总价
                        
                            品牌房企
                        
                            VR看房
                        
                    ",7600, 元/㎡(均价),总价75-128(万/套)
四季风华,效果图,在售,住宅,"
                        新郑市/南龙湖商圈/郑新快速路祥云路交汇处西800路南
                    ",2室,建面 68-133㎡,3室,4室,建面 68-133㎡,,"
                        

                        
                            品牌房企
                        
                            小户型
                        
                            绿化率高
                        
                            大型社区
                        
                    ",7300, 元/㎡(均价),总价49-110(万/套)
金茂未来府,效果图,在售,住宅,"
                        郑州经济技术开发区/恒大绿洲/经开区第五大街与经南六路交汇处
                    ",3室,建面 89-168㎡,4室,建面 89-168㎡,,,"
                        

                        
                            品牌房企
                        
                            VR看房
                        
                            大型社区
                        
                    ",18000, 元/㎡(均价),总价150-277(万/套)
郑州碧桂园云境,效果图,在售,住宅,"
                        金水区/汽配大世界/国基路柳林西路交叉口
                    ",2室,建面 48-153㎡,3室,4室,建面 48-153㎡,,"
                        

                        
                            品牌房企
                        
                            小户型
                        
                            大型社区
                        
                    ",18500, 元/㎡(均价),总价129-291(万/套)
招商美景·雍瑞园,效果图,在售,住宅,"
                        惠济区/北大学城/桂圆北街招商美景·雍瑞园
                    ",3室,建面 128-143㎡,4室,建面 128-143㎡,,,"
                        

                        
                            多轨交汇
                        
                            近主干道
                        
                            成熟商圈
                        
                            三甲医院
                        
                    ",19500, 元/㎡(均价),总价250-280(万/套)
金地建海峯范,效果图,在售,住宅,"
                        二七区/二七万达/航海中路金地建海峯范
                    ",3室,建面 97-137㎡,4室,建面 97-137㎡,,,"
                        

                        
                            品牌房企
                        
                            VR看房
                        
                            小型社区
                        
                    ",16500, 元/㎡(均价),总价150-245(万/套)
保亿·豫景晨园,效果图,在售,住宅,"
                        郑州高新技术产业开发区/高新双湖科技城/绿梅街保亿·豫景晨园
                    ",3室,建面 112-131㎡,4室,建面 112-131㎡,,,"
                        

                        
                            品牌房企
                        
                            VR看房
                        
                            低密居所
                        
                            绿化率高
                        
                    ",12000, 元/㎡(均价),总价135-157(万/套)
汇泉博澳东悦城,效果图,在售,底商,"
                        郑东新区/白沙/商都大道与前程路交会处
                    ",,,,,,,"
                        

                        
                            低总价
                        
                            公交直达
                        
                            配套齐全
                        
                            购物方便
                        
                    ",24000, 元/㎡(均价),总价120(万/套)
新城海棠晓月,效果图,待售,底商,"
                        荥阳市/荥阳城区/新田大道新城海棠晓月
                    ",,,,,,,"
                        

                        
                            品牌房企
                        
                            现房
                        
                            车位充足
                        
                    ",价格待定,,
美景美地麟洲,效果图,待售,商业类,"
                        郑州经济技术开发区/经开物流园区/前程大道美景美地麟洲
                    ",,,,,,,"
                        

                        
                            车位充足
                        
                    ",价格待定,,
阅城锦绣江山,效果图,在售,住宅,"
                        郑州高新技术产业开发区/省体育中心/三全路阅城锦绣江山
                    ",3室,建面 89-110㎡,建面 89-110㎡,,,,"
                        

                        
                            近主干道
                        
                            临近高速
                        
                            品牌房企
                        
                            VR看房
                        
                    ",13000, 元/㎡(均价),总价116-143(万/套)
保利拾光年,效果图,待售,住宅,"
                        中牟县/绿博/郑州绿博贾鲁河与广惠街交会处北1千米
                    ",,,,,,,"
                        

                        
                            品牌房企
                        
                            花园洋房
                        
                            车位充足
                        
                            绿化率高
                        
                    ",价格待定,,
正弘璟云筑,效果图,在售,住宅,"
                        金水区/杨金路/河南省郑州市金水区新庄街
                    ",3室,建面 125-143㎡,4室,建面 125-143㎡,,,"
                        

                        
                            近主干道
                        
                            品牌房企
                        
                            VR看房
                        
                            绿化率高
                        
                    ",16500, 元/㎡(均价),总价223-265(万/套)
谦祥·雲栖,效果图,在售,住宅,"
                        郑州高新技术产业开发区/高新梧桐/郑州高新区郁香路与欢河路交汇处向西50米
                    ",3室,建面 97-143㎡,4室,建面 97-143㎡,,,"
                        

                        
                            品牌房企
                        
                            VR看房
                        
                            绿化率高
                        
                            大型社区
                        
                    ",16500, 元/㎡(均价),总价160-254(万/套)
山水云庭,效果图,在售,住宅,"
                        荥阳市/荥阳城区/郑州市·郑上新区 · 桃贾路与菖蒲路交汇处西北
                    ",3室,建面 89-130㎡,建面 89-130㎡,,,,"
                        

                        
                            低单价
                        
                            低总价
                        
                            VR看房
                        
                            绿化率高
                        
                    ",6500, 元/㎡(均价),总价58-98(万/套)
尚湖希尔顿国际公寓,效果图,在售,商业类,"
                        郑东新区/郑州东站/圃田西路与七里河南路交汇处 尚湖希尔顿国际公寓
                    ",1室,建面 47-83㎡,建面 47-83㎡,,,,"
                        

                        
                            小户型
                        
                    ",14000, 元/㎡(均价),总价67-118(万/套)
保利心语公寓三期,效果图,在售,商业类,"
                        中原区/交警二大队/中原中路141号
                    ",1室,建面 26-40㎡,建面 26-40㎡,,,,"
                        

                        
                            低总价
                        
                            品牌房企
                        
                            小户型
                        
                    ",8500, 元/㎡(均价),总价24-34(万/套)
保利心语住宅四期,效果图,在售,住宅,"
                        中原区/交警二大队/河南省郑州市中原区中原中路83号
                    ",4室,建面 77-129㎡,建面 77-129㎡,,,,"
                        

                        
                            低总价
                        
                            品牌房企
                        
                            小户型
                        
                            小型社区
                        
                    ",13200, 元/㎡(均价),总价180(万/套)
汇泉景悦城三期,效果图,在售,住宅,"
                        中原区/中原万达/郑湾路汇泉景悦城三期
                    ",3室,建面 99-131㎡,建面 99-131㎡,,,,"
                        

                        
                            多轨交汇
                        
                            近主干道
                        
                            成熟商圈
                        
                            菜市场
                        
                    ",13500, 元/㎡(均价),总价133-176(万/套)
中丞·地铁时代,效果图,在售,住宅,"
                        荥阳市//南山大道中丞·地铁时代
                    ",3室,建面 92-184㎡,4室,建面 92-184㎡,,,"
                        

                        
                            品牌房企
                        
                            VR看房
                        
                            低密居所
                        
                            绿化率高
                        
                    ",8000, 元/㎡(均价),总价73-144(万/套)
中博城彩虹堂,效果图,在售,商业类,"
                        管城回族区/幸福港湾/未来路中博城珑誉园
                    ",2室,建面 43-64㎡,3室,建面 43-64㎡,,,"
                        

                        
                            地铁沿线
                        
                            公交直达
                        
                            配套齐全
                        
                            购物方便
                        
                    ",12000, 元/㎡(均价),总价56-78(万/套)
中海云著湖居,效果图,在售,住宅,"
                        郑东新区/北龙湖/郑州市郑东新区北龙湖龙湖中环路与南录庄街交叉口向东150米路南
                    ",4室,建面 149-220㎡,建面 149-220㎡,,,,"
                        

                        
                            品牌房企
                        
                            VR看房
                        
                            低密居所
                        
                            车位充足
                        
                    ",42900, 元/㎡(均价),总价560-943(万/套)
正庄恒熙东苑,效果图,待售,住宅,"
                        中牟县/绿博/新城大道正庄恒熙东苑
                    ",,,,,,,"
                        

                        
                            低密居所
                        
                            绿化率高
                        
                    ",价格待定,,
郑住天地云墅,效果图,待售,住宅,"
                        登封市/登封市/太和路郑住天地云墅
                    ",,,,,,,"
                        

                        
                            品牌房企
                        
                            现房
                        
                    ",价格待定,,
郑州碧桂园中心,效果图,待售,写字楼,"
                        郑东新区/郑州东站/复兴北路郑州碧桂园中心
                    ",,,,,,,"
                        

                        
                            现房
                        
                    ",价格待定,,
正弘中岳城,效果图,待售,住宅,"
                        登封市/登封市/政通路正弘中岳城
                    ",,,,,,,"
                        

                        
                            品牌房企
                        
                            现房
                        
                    ",价格待定,,
正和紫荆城,效果图,待售,住宅,"
                        巩义市/巩义市/白云山路正和紫荆城
                    ",,,,,,,"
                        

                        
                            现房
                        
                    ",价格待定,,
正商嵩岳宽境,效果图,待售,住宅,"
                        登封市/登封市/翠秀路正商嵩岳宽境
                    ",,,,,,,"
                        

                        
                            品牌房企
                        
                            现房
                        
                    ",价格待定,,
元顺·锦绣华庭二期,效果图,待售,住宅,"
                        登封市/登封市/南一环元顺·锦绣华庭二期
                    ",,,,,,,"
                        

                        
                            现房
                        
                    ",价格待定,,
保利璞岸,效果图,在售,住宅,"
                        郑东新区/北龙湖/郑州北龙湖龙沄路龙源东路交汇处
                    ",4室,建面 160-260㎡,建面 160-260㎡,,,,"
                        

                        
                            品牌房企
                        
                            复式
                        
                            低密居所
                        
                            车位充足
                        
                    ",42900, 元/㎡(均价),总价660-1300(万/套)
